transaction,item
1,мазь от ушибов
1,пластырь
2,таблетки от простуды и гриппа
2,защита от солнца
2,капли для глаз
3,мазь от ушибов
3,пластырь
4,защита от солнца
4,линзы
4,очки
4,мазь от ушибов
4,пластырь
5,линзы
5,очки
5,капли для глаз
5,мазь от ушибов
5,пластырь
6,тест на covid-19
6,таблетки от простуды и гриппа
6,линзы
6,очки
6,мазь от ушибов
7,линзы
8,тест на covid-19
8,таблетки от простуды и гриппа
8,бад
8,очки
9,тест на covid-19
9,таблетки от простуды и гриппа
9,линзы
9,очки
9,капли для глаз
10,таблетки от простуды и гриппа
10,линзы
10,мазь от ушибов
10,пластырь
11,тест на covid-19
11,таблетки от простуды и гриппа
11,линзы
11,мазь от ушибов
11,пластырь
12,таблетки от простуды и гриппа
12,бад
12,капли для глаз
12,мазь от ушибов
12,пластырь
13,защита от солнца
13,линзы
13,мазь от ушибов
14,защита от солнца
14,пластырь
15,защита от солнца
15,бад
15,линзы
15,капли для глаз
15,мазь от ушибов
15,пластырь
16,таблетки от простуды и гриппа
16,мазь от ушибов
16,пластырь
17,таблетки от простуды и гриппа
17,защита от солнца
17,капли для глаз
17,мазь от ушибов
17,пластырь
18,таблетки от простуды и гриппа
18,линзы
18,капли для глаз
18,мазь от ушибов
18,пластырь
19,таблетки от простуды и гриппа
19,линзы
19,капли для глаз
19,мазь от ушибов
19,пластырь
20,защита от солнца
20,линзы
20,капли для глаз
20,мазь от ушибов
21,таблетки от простуды и гриппа
21,защита от солнца
21,линзы
21,капли для глаз
21,пластырь
22,защита от солнца
22,бад
22,линзы
22,капли для глаз
22,мазь от ушибов
23,таблетки от простуды и гриппа
23,бад
23,линзы
23,капли для глаз
23,мазь от ушибов
23,пластырь
24,бад
24,линзы
24,капли для глаз
25,защита от солнца
25,мазь от ушибов
26,таблетки от простуды и гриппа
26,капли для глаз
26,пластырь
27,таблетки от простуды и гриппа
27,капли для глаз
28,тест на covid-19
28,таблетки от простуды и гриппа
28,линзы
28,пластырь
29,тест на covid-19
29,таблетки от простуды и гриппа
29,защита от солнца
29,линзы
29,капли для глаз
29,мазь от ушибов
30,таблетки от простуды и гриппа
30,линзы
30,капли для глаз
30,пластырь
